farm code,number,area,N_trees,tree.density
GMX 2,1,2320,1,0.000431034
GMX 2,2,2320,1,0.000431034
GMX 2,2,2320,1,0.000431034
GMX 2,1,2320,1,0.000431034
GMX 2,1,2320,1,0.000431034
GMX 2,2,2320,1,0.000431034
GMX 2,1,2320,1,0.000431034
GMX 2,4,2320,1,0.000431034
GMX 2,1,2320,1,0.000431034
GMX 2,1,2320,1,0.000431034
GMX 2,4,2320,1,0.000431034
GMX 2,6,2320,1,0.000431034
GMX 2,7,2320,1,0.000431034
GMX 2,1,2320,1,0.000431034
GMX 2,1,2320,1,0.000431034
GMX 2,2,2320,1,0.000431034
GMX 2,2,2320,1,0.000431034
GMX 2,1,2320,1,0.000431034
GMX 2,1,2320,1,0.000431034
GMX 2,1,2320,1,0.000431034
GMX 2,1,2320,1,0.000431034
GMX 2,2,2320,1,0.000431034
GMX 2,1,2320,1,0.000431034
GMX 2,2,2320,1,0.000431034
GMX 2,1,2320,1,0.000431034
GMX 2,4,2320,1,0.000431034
GMX 2,2,2320,1,0.000431034
GMX 2,2,2320,1,0.000431034
LOBN 2,1,2320,0,0
LOBN 2,1,2320,0,0
LOBN 2,1,2320,0,0
LOBN 2,2,2320,0,0
LOBN 2,1,2320,0,0
LOBN 2,2,2320,0,0
LOBN 2,2,2320,0,0
LOBN 2,1,2320,0,0
LOBN 2,1,2320,0,0
LOMX 5,2,1914,1,0.000522466
LOMX 5,2,1914,1,0.000522466
LOMX 5,2,1914,1,0.000522466
LOMX 5,2,1914,1,0.000522466
LOMX 5,1,1914,1,0.000522466
LOMX 5,2,1914,1,0.000522466
GBN 3,1,1947,0,0
GBN 3,1,1947,0,0
GBN 3,21,1947,0,0
GBN 3,1,1947,0,0
GBN 3,0,1947,0,0
GMX 10,2,2065,0,0
GMX 10,1,2065,0,0
GMX 10,1,2065,0,0
GMX 10,1,2065,0,0
GMX 10,3,2065,0,0
GMX 10,1,2065,0,0
LOMX 1,3,1475,1,0.000677966
LOMX 1,2,1475,1,0.000677966
LOMX 1,3,1475,1,0.000677966
LOMX 1,1,1475,1,0.000677966
LOMX 1,1,1475,1,0.000677966
LOMX 1,0,1475,1,0.000677966
LOMX 1,0,1475,1,0.000677966
GBN 3,0,1947,0,0
GBN 3,0,1947,0,0
GBN 3,2,1947,0,0
GBN 3,1,1947,0,0
GBN 3,1,1947,0,0
GBN 3,1,1947,0,0
GMX 10,1,2065,0,0
GMX 10,1,2065,0,0
GMX 10,1,2065,0,0
GMX 10,1,2065,0,0
GMX 10,2,2065,0,0
GMX 10,7,2065,0,0
GMX 10,2,2065,0,0
GMX 10,1,2065,0,0
GMX 10,1,2065,0,0
GMX 10,2,2065,0,0
GMX 10,1,2065,0,0
LOMX 1,0,1475,1,0.000677966
LOMX 1,4,1475,1,0.000677966
LOMX 1,2,1475,1,0.000677966
LOMX 1,1,1475,1,0.000677966
LOMX 1,1,1475,1,0.000677966
LOMX 1,1,1475,1,0.000677966
LOMX 1,1,1475,1,0.000677966
LOMX 1,1,1475,1,0.000677966
LOMX 1,1,1475,1,0.000677966
LOMX 1,1,1475,1,0.000677966
LOMX 1,2,1475,1,0.000677966
LOMX 1,2,1475,1,0.000677966
LOMX 1,1,1475,1,0.000677966
LOMX 1,1,1475,1,0.000677966
LOMX 1,2,1475,1,0.000677966
LOMX 1,4,1475,1,0.000677966
LOMX 1,1,1475,1,0.000677966
LOBN 1,0,2340,0,0
LOBN 1,0,2340,0,0
LOBN 1,0,2340,0,0
LOBN 1,0,2340,0,0
LOBN 1,1,2340,0,0
LOBN 1,2,2340,0,0
LOBN 1,1,2340,0,0
LOBN 1,1,2340,0,0
LOBN 1,4,2340,0,0
LOBN 1,1,2340,0,0
LOBN 1,1,2340,0,0
LOBN 1,1,2340,0,0
LOBN 1,1,2340,0,0
GBN 6,1,3050,2,0.000655738
GBN 6,1,3050,2,0.000655738
GBN 6,1,3050,2,0.000655738
GBN 6,1,3050,2,0.000655738
GBN 6,1,3050,2,0.000655738
GBN 6,1,3050,2,0.000655738
GBN 6,1,3050,2,0.000655738
GBN 6,1,3050,2,0.000655738
GBN 6,1,3050,2,0.000655738
GBN 6,1,3050,2,0.000655738
GBN 6,2,3050,2,0.000655738
GBN 6,1,3050,2,0.000655738
GBN 6,1,3050,2,0.000655738
GBN 6,1,3050,2,0.000655738
GBN 6,0,3050,2,0.000655738
LAMX 4,1,496,0,0
LAMX 4,0,496,0,0
LAMX 4,0,496,0,0
LAMX 4,0,496,0,0
LAMX 6,2,3100,0,0
LAMX 6,1,3100,0,0
LAMX 6,1,3100,0,0
LAMX 6,1,3100,0,0
LAMX 6,1,3100,0,0
LAMX 6,1,3100,0,0
LAMX 6,2,3100,0,0
LAMZ 9,1,2790,1,0.000358423
LAMZ 9,5,2790,1,0.000358423
LAMZ 9,3,2790,1,0.000358423
LAMZ 9,1,2790,1,0.000358423
LAMZ 9,1,2790,1,0.000358423
LAMZ 9,1,2790,1,0.000358423
LAMZ 9,1,2790,1,0.000358423
LAMZ 9,1,2790,1,0.000358423
LAMZ 9,1,2790,1,0.000358423
LAMZ 9,0,2790,1,0.000358423
LAMX 4,1,496,0,0
LAMX 4,2,496,0,0
LAMX 4,1,496,0,0
LAMX 4,1,496,0,0
LAMX 4,1,496,0,0
LAMX 4,2,496,0,0
LAMX 4,2,496,0,0
LAMX 4,1,496,0,0
LAMX 4,1,496,0,0
LAMX 4,2,496,0,0
LAMX 4,2,496,0,0
LAMX 4,2,496,0,0
LAMX 4,1,496,0,0
LAMX 4,3,496,0,0
LAMX 4,1,496,0,0
LAMX 6,3,3100,0,0
LAMX 6,3,3100,0,0
LAMX 6,4,3100,0,0
LAMX 6,1,3100,0,0
LAMX 6,3,3100,0,0
LAMX 6,2,3100,0,0
LAMX 6,3,3100,0,0
LAMX 6,1,3100,0,0
LAMX 6,3,3100,0,0
LAMX 6,1,3100,0,0
LAMX 6,1,3100,0,0
LAMX 6,1,3100,0,0
LAMX 6,1,3100,0,0
LAMX 6,2,3100,0,0
LAMX 6,1,3100,0,0
LAMZ 9,2,2790,1,0.000358423
LAMZ 9,1,2790,1,0.000358423
LAMZ 9,1,2790,1,0.000358423
LAMZ 9,1,2790,1,0.000358423
LAMZ 9,1,2790,1,0.000358423
LAMZ 9,3,2790,1,0.000358423
LAMZ 9,1,2790,1,0.000358423
LAMZ 9,1,2790,1,0.000358423
LAMZ 9,3,2790,1,0.000358423
LAMZ 9,1,2790,1,0.000358423
LAMZ 9,1,2790,1,0.000358423
LAMX 1,0,3024,0,0
LAMX 1,1,3024,0,0
LAMX 1,6,3024,0,0
LAMX 1,1,3024,0,0
LAMX 1,1,3024,0,0
LAMX 1,2,3024,0,0
LAMX 1,1,3024,0,0
LAMX 1,1,3024,0,0
LAMX 1,1,3024,0,0
LAMX 1,1,3024,0,0
LAMX 1,1,3024,0,0
LAMX 1,1,3024,0,0
LAMX 1,2,3024,0,0
LAMX 1,1,3024,0,0
LAMX 1,1,3024,0,0
LOBN 10,0,3328,0,0
LOBN 10,0,3328,0,0
LOBN 10,1,3328,0,0
LOBN 10,0,3328,0,0
LOBN 9,0,2491,0,0
LOBN 10,1,3328,0,0
LOBN 10,2,3328,0,0
LOBN 10,2,3328,0,0
LOBN 10,0,3328,0,0
LOBN 10,0,3328,0,0
LOBN 9,1,2491,0,0
LOMZ 6,1,3380,1,0.000295858
LOMZ 6,2,3380,1,0.000295858
LOMZ 6,1,3380,1,0.000295858
LOMZ 6,1,3380,1,0.000295858
LOMZ 6,1,3380,1,0.000295858
LOMZ 6,1,3380,1,0.000295858
LOMZ 6,1,3380,1,0.000295858
LOMZ 6,1,3380,1,0.000295858
LOMZ 6,1,3380,1,0.000295858
LOMZ 6,1,3380,1,0.000295858
GMZ 9,0,3234,1,0.000309215
GMZ 9,2,3234,1,0.000309215
GMZ 9,1,3234,1,0.000309215
GMZ 9,2,3234,1,0.000309215
LOMX 9,1,3102,0,0
LOMX 9,0,3102,0,0
LOMX 9,2,3102,0,0
LOMX 9,1,3102,0,0
GMZ 9,2,3234,1,0.000309215
GMZ 9,1,3234,1,0.000309215
GMZ 9,2,3234,1,0.000309215
GMZ 9,1,3234,1,0.000309215
GMZ 9,1,3234,1,0.000309215
LOMX 9,2,3102,0,0
LOMX 9,1,3102,0,0
LOMX 9,1,3102,0,0
LOMX 9,2,3102,0,0
LOMX 9,1,3102,0,0
LOMX 9,1,3102,0,0
LOMX 9,1,3102,0,0
LOMX 9,1,3102,0,0
LOMX 9,1,3102,0,0
LOMX 9,1,3102,0,0
LOMX 9,4,3102,0,0
LOMX 9,1,3102,0,0
GBN 7,1,1608,1,0.000621891
GBN 7,1,1608,1,0.000621891
GBN 7,2,1608,1,0.000621891
GBN 7,0,1608,1,0.000621891
GBN 7,2,1608,1,0.000621891
GBN 7,1,1608,1,0.000621891
GBN 7,2,1608,1,0.000621891
GBN 7,2,1608,1,0.000621891
GBN 7,4,1608,1,0.000621891
GBN 7,1,1608,1,0.000621891
GBN 7,3,1608,1,0.000621891
GBN 7,2,1608,1,0.000621891
GBN 7,6,1608,1,0.000621891
GMX 7,0,1608,0,0
GMX 7,1,1608,0,0
GMX 7,8,1608,0,0
GMX 7,3,1608,0,0
